grandeur,valeur,source_json,statut
parité FP32 gelé pronostia,1.0,exp_S36_summary.json,mesuré board
parité FP32 en ligne pronostia,0.9754446509158482,exp_S36_summary.json,mesuré board
F1 FP32 board pronostia,0.9164,exp_S36_summary.json,mesuré board
F1 legacy board pronostia,0.138,exp_S36_summary.json,mesuré board
F1 per_ch émulé pronostia,0.9437,exp_S39_quant_sweep/ewc_pronostia.json,émulé PC
F1 per_ch board pronostia,0.8995,exp_S40_board_v2/results_per_channel_pronostia_frozen.json,mesuré board
F1 q15 board pronostia,,exp_S40_board_v2/results_q15_pronostia_frozen.json,à mesurer
latence board FP32 pronostia,50.0,exp_S36_summary.json,mesuré board
latence board INT8 pronostia,74.0,exp_S50_int8_latency/ewc.json,mesuré board
RAM totale board fp32 pronostia,110192,exp_S49_ram/summary.json,mesuré board
RAM totale board int8 pronostia,110216,exp_S49_ram/summary.json,mesuré board
F1 board « les deux » pronostia,0.9072,exp_S46_board/pronostia_both.json,mesuré board
MACs pronostia,704,exp_S40_article_metrics/compute_cost_ewc_pronostia.json,théorique
BOPs FP32 pronostia,1441792,src/evaluation/compute_cost.py,théorique
BOPs INT8 pronostia,90112,src/evaluation/compute_cost.py,théorique
parité FP32 gelé monitoring,1.0,exp_S36_summary.json,mesuré board
parité FP32 en ligne monitoring,0.988660062565172,exp_S36_summary.json,mesuré board
F1 FP32 board monitoring,0.9194,exp_S36_summary.json,mesuré board
F1 legacy board monitoring,0.1337,exp_S36_summary.json,mesuré board
F1 per_ch émulé monitoring,0.915,exp_S39_quant_sweep/ewc_monitoring.json,émulé PC
F1 per_ch board monitoring,0.9173,exp_S40_board_v2/results_per_channel_monitoring_frozen.json,mesuré board
F1 q15 board monitoring,,exp_S40_board_v2/results_q15_monitoring_frozen.json,à mesurer
latence board FP32 monitoring,48.0,exp_S36_summary.json,mesuré board
latence board INT8 monitoring,74.0,exp_S50_int8_latency/ewc.json,mesuré board
RAM totale board fp32 monitoring,105300,exp_S49_ram/summary.json,mesuré board
RAM totale board int8 monitoring,105324,exp_S49_ram/summary.json,mesuré board
F1 board « les deux » monitoring,0.9213,exp_S46_board/monitoring_both.json,mesuré board
MACs monitoring,672,exp_S40_article_metrics/compute_cost_ewc_monitoring.json,théorique
BOPs FP32 monitoring,1376256,src/evaluation/compute_cost.py,théorique
BOPs INT8 monitoring,86016,src/evaluation/compute_cost.py,théorique
énergie EWC FP32 — régression I(cadence),67.65168547398007,exp_S53_rate_sweep/summary.json,mesuré board
énergie EWC FP32 — delta/WFI,146.77119999999988,exp_S53_wfi/ewc_fp32.json,mesuré board
énergie EWC FP32 — lot INFER_BATCH_N,5.076485528046073,exp_S53_wfi/batch_sweep.json,mesuré board
énergie par MAJ CL — delta/WFI,,exp_S53_wfi/ewc_fp32.json,à mesurer
