exp_id,sprint,model,dataset,scenario,uint8_activations,acc_final,avg_forgetting,bwt,auroc,ram_peak_bytes,ram_peak_kb,gap2_compliant,inference_latency_ms,n_params,compression_ratio,delta_acc_vs_fp32,reference_exp,notes
exp_001_ewc_dataset2,1,ewc,,,,0.9823892182918952,0.0009746588693957392,1.1534424489867412e-05,,1171.0,1.14,True,0.035802419970423216,705.0,,,,
exp_005_unsupervised_dataset2,1,kmeans,,,,0.9433147987450098,0.0049309664694279776,-0.003956307600032294,0.9621469241365714,5450.0,5.32,True,0.33223709997400874,8.0,,,,
exp_005_unsupervised_monitoring_by_equipment,1,kmeans,,,,0.9433147987450098,0.0049309664694279776,-0.003956307600032294,0.9621469241365714,5358.0,5.23,True,0.3078050700287349,8.0,,,,
exp_007_mahalanobis_monitoring_by_equipment,1,mahalanobis,,,,0.9524221862154071,0.0009861932938856066,-0.0009861932938856066,0.9717906228584905,1504.0,1.47,True,0.018014859992945276,20.0,,,,
exp_008_dbscan_monitoring_by_equipment,1,dbscan,,,,0.95567885818007,,0.0009746588693956837,0.9786402191811768,73638.0,71.91,False,0.4232003800041184,5412.0,,,,
exp_011_tinyol_dataset2,6,tinyol,monitoring,,,0.9123316273710849,0.007851365243674302,-0.002917966131686156,,4379.0,4.28,True,0.009751210027388879,,,,,
exp_012_tinyol_pump_by_id,6,tinyol,pump,,,0.5629431357995088,0.007062982253086436,-0.003043741550607104,,5762.0,5.63,True,0.010219520001442106,,,,,
exp_013_ewc_pump_by_id,6,ewc,,,,0.5657569489334195,0.009909733124018827,-0.009909733124018827,,1171.0,1.14,True,0.03605114000095,1377.0,,,,
exp_015_mahalanobis_pump_by_id,6,mahalanobis,,,,0.44710351833040907,0.015011773940345363,0.004996229260935139,0.49531918592263413,2092.0,2.04,True,0.007275940001818526,650.0,,,,
exp_016_ewc_monitoring_by_location,6,ewc,,,,0.9816856414260793,0.0008064516129032417,0.003197431563082692,,1171.0,1.14,True,0.03486008000095353,705.0,,,,
exp_018_tinyol_monitoring_by_location,6,tinyol,monitoring,,,0.9419327736187519,0.008505316891613462,0.0013372386956275462,,4532.0,4.43,True,0.008747150002363924,,,,,
exp_019_mahalanobis_monitoring_by_location,6,mahalanobis,,,,0.9510050539332076,0.0024064390865290997,5.186184005800953e-06,0.9821193451164305,1504.0,1.47,True,0.0077851500032011245,20.0,,,,
exp_020_kmeans_pump_by_id,6,kmeans,,,,0.4503970819096869,0.00990973312401884,9.426847662140359e-05,0.49845474129956885,5770.0,5.63,True,0.572456210004475,50.0,,,,
exp_021_dbscan_pump_by_id,6,dbscan,,,,0.5656031027795734,,0.0,0.4518857674892158,49678.0,48.51,True,0.3262661000007938,4950.0,,,,
exp_022_kmeans_monitoring_by_location,6,kmeans,,,,0.949724244419244,0.01130125310590302,-0.008083176222464933,0.9743661598915004,5410.0,5.28,True,0.3076488899978358,12.0,,,,
exp_023_dbscan_monitoring_by_location,6,dbscan,,,,0.9516784546066083,0.003218296074409488,-0.002411844461506274,0.9808134390326329,41500.0,40.53,True,0.2276399299876175,2476.0,,,,
exp_024_tinyol_pump_temporal,6,tinyol,pump,,,0.5693548387096774,0.008602150537634393,-0.008602150537634393,,5867.0,5.73,True,0.011929159991268534,,,,,
exp_025_ewc_pump_temporal,6,ewc,,,,0.5120967741935484,0.005376344086021501,0.0,,1171.0,1.14,True,0.036059479995174115,1377.0,,,,
exp_027_mahalanobis_pump_temporal,6,,,,,0.4838709677419355,0.02150537634408602,0.01612903225806452,,2092.0,2.04,True,0.007231670000464874,650.0,,,,
exp_028_kmeans_pump_temporal,6,,,,,0.4717741935483871,,0.01075268817204302,,5862.0,5.72,True,0.30108449999829645,50.0,,,,
exp_029_dbscan_pump_temporal,6,,,,,0.5120967741935484,,0.0,,61398.0,59.96,True,0.4183498699990196,6225.0,,,,
exp_030_kmeans_monitoring_by_equipment,6,kmeans,,,,0.9433147987450098,0.0049309664694279776,-0.003956307600032294,0.9621469241365714,5312.0,5.19,True,0.5336852199798159,8.0,,,,
exp_050_ewc_pronostia_by_condition,8,ewc,,,,0.9819339347521753,0.0,0.004863348848311244,,1171.0,1.14,True,0.035445730354695115,993.0,,,,
exp_052_tinyol_pronostia_by_condition,10,tinyol,pronostia,,,0.9297033743102157,0.01983261903706257,-0.01983261903706257,,3698.0,3.61,True,0.009060099946509581,,,,,
exp_053_kmeans_pronostia_by_condition,10,kmeans,,,,0.8900381547172538,0.030844969566774072,-0.030844969566774072,0.8549097384592487,5574.0,5.44,True,0.3191688000879367,26.0,,,,
exp_054_mahalanobis_pronostia_by_condition,10,mahalanobis,,,,0.7931284865203189,0.1692803437164339,-0.1692803437164339,0.7823955865575504,1756.0,1.71,True,0.008160769830283243,182.0,,,,
exp_055_dbscan_pronostia_by_condition,10,dbscan,,,,0.9014275736481482,,0.0050662370211242425,0.8249745689942708,121024.0,118.19,False,0.27145779993588803,11479.0,,,,
exp_071_kmeans_cwru_single_task,10,kmeans,cwru,no_split,,0.15869565217391304,,,,5386.0,5.26,True,0.19377222008188255,18.0,,,,
exp_072_mahalanobis_cwru_single_task,10,mahalanobis,cwru,no_split,,0.1391304347826087,,,,1644.0,1.61,True,0.00455100000181119,90.0,,,,
exp_073_dbscan_cwru_single_task,10,dbscan,cwru,no_split,,0.14565217391304347,,,,118468.0,115.69,False,0.23158322996096103,11286.0,,,,
exp_074_ewc_cwru_by_fault_type,10,ewc,cwru,by_fault_type,,1.0,,,,1171.0,1.14,True,0.020327520069258753,865.0,,,,
exp_075_hdc_cwru_by_fault_type,10,hdc,cwru,by_fault_type,,0.935064935064935,0.04545454545454547,-0.038961038961038974,,7848.0,7.66,True,0.05210877987337881,1024.0,,,,
exp_076_tinyol_cwru_by_fault_type,10,tinyol,cwru,by_fault_type,,0.9664179104477612,0.0018656716417910224,0.006529850746268717,,4055.0,3.96,True,0.005239119927864522,397.0,,,,
exp_077_kmeans_cwru_by_fault_type,10,kmeans,cwru,by_fault_type,,0.15151515151515152,0.019480519480519473,0.038961038961038974,,5432.0,5.3,True,0.16130023996083764,18.0,,,,
exp_078_mahalanobis_cwru_by_fault_type,10,mahalanobis,cwru,by_fault_type,,0.31601731601731603,0.012987012987012991,0.2857142857142857,,1644.0,1.61,True,0.00416560003941413,90.0,,,,
exp_079_dbscan_cwru_by_fault_type,10,dbscan,cwru,by_fault_type,,0.12554112554112554,0.04545454545454544,-0.04545454545454544,,16788.0,16.39,True,0.12907623015053105,1116.0,,,,
exp_080_ewc_cwru_by_severity,10,ewc,cwru,by_severity,,0.9523809523809522,,0.006493506493506496,,1171.0,1.14,True,0.03809008001553593,865.0,,,,
